age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
39,4.0,272338,11.0,9,2.0,1.0,5.0,4.0,0.0,0,0,25,37.0
54,4.0,98436,12.0,14,2.0,8.0,0.0,4.0,1.0,0,0,40,37.0
20,4.0,117222,15.0,10,4.0,13.0,3.0,4.0,1.0,0,0,15,37.0
35,4.0,61343,9.0,13,2.0,12.0,0.0,4.0,1.0,0,0,40,37.0
36,4.0,115360,0.0,6,2.0,7.0,3.0,4.0,0.0,3464,0,40,37.0
69,2.0,61958,11.0,9,2.0,3.0,0.0,4.0,1.0,1424,0,6,37.0
26,4.0,244495,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,48,37.0
20,4.0,323573,11.0,9,4.0,8.0,3.0,4.0,0.0,0,0,20,37.0
61,4.0,103575,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,37,37.0
44,4.0,219591,15.0,10,0.0,6.0,3.0,4.0,1.0,0,0,40,37.0
62,4.0,197918,11.0,9,0.0,1.0,4.0,4.0,0.0,0,0,40,37.0
26,4.0,50053,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,55,37.0
38,4.0,131461,6.0,5,2.0,8.0,5.0,2.0,0.0,0,0,24,14.0
46,6.0,31267,11.0,9,2.0,14.0,0.0,4.0,1.0,0,0,50,37.0
38,4.0,380543,11.0,9,4.0,8.0,4.0,2.0,0.0,0,0,30,37.0
61,4.0,339358,4.0,3,2.0,5.0,2.0,4.0,0.0,0,0,45,25.0
29,2.0,167544,7.0,12,0.0,8.0,4.0,4.0,0.0,0,0,13,37.0
48,4.0,120724,2.0,8,2.0,4.0,0.0,4.0,1.0,0,0,50,37.0
26,4.0,160261,12.0,14,4.0,10.0,1.0,1.0,1.0,0,0,20,18.0
48,7.0,130561,15.0,10,4.0,10.0,1.0,2.0,0.0,0,0,24,37.0
31,4.0,323069,7.0,12,0.0,12.0,4.0,4.0,0.0,0,880,45,37.0
50,4.0,233369,15.0,10,0.0,10.0,4.0,4.0,0.0,0,0,40,37.0
51,4.0,392668,10.0,16,2.0,4.0,0.0,4.0,1.0,15024,0,84,37.0
39,4.0,177277,11.0,9,2.0,7.0,0.0,4.0,1.0,0,0,45,37.0
26,4.0,154966,15.0,10,2.0,12.0,0.0,4.0,1.0,0,0,50,37.0
30,2.0,303485,15.0,10,4.0,14.0,4.0,2.0,0.0,0,0,40,37.0
39,6.0,107233,11.0,9,4.0,3.0,2.0,0.0,1.0,0,0,40,37.0
35,2.0,27763,11.0,9,2.0,8.0,0.0,0.0,1.0,0,0,40,37.0
49,4.0,265295,11.0,9,4.0,3.0,1.0,4.0,1.0,0,0,40,37.0
22,8.0,302347,11.0,9,4.0,6.0,3.0,4.0,1.0,4416,0,40,37.0
35,4.0,407913,11.0,9,5.0,8.0,1.0,2.0,1.0,0,0,40,37.0
38,4.0,266325,9.0,13,2.0,10.0,5.0,4.0,0.0,0,0,32,37.0
29,4.0,85572,9.0,13,2.0,4.0,5.0,4.0,0.0,0,0,42,37.0
22,4.0,60668,15.0,10,4.0,3.0,1.0,4.0,1.0,0,0,40,37.0
66,0.0,149422,5.0,4,4.0,0.0,1.0,4.0,1.0,0,0,4,37.0
34,4.0,193036,15.0,10,2.0,1.0,0.0,2.0,1.0,0,0,40,37.0
23,1.0,41432,9.0,13,4.0,10.0,1.0,4.0,0.0,0,0,15,37.0
31,4.0,170983,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,60,37.0
27,4.0,363053,6.0,5,4.0,9.0,4.0,4.0,0.0,0,0,24,25.0
58,4.0,224854,11.0,9,4.0,1.0,1.0,4.0,0.0,0,0,40,37.0
46,6.0,101722,15.0,10,2.0,4.0,0.0,4.0,1.0,3137,0,40,37.0
67,0.0,244122,8.0,11,6.0,0.0,1.0,4.0,0.0,0,0,1,37.0
23,4.0,368739,9.0,13,4.0,1.0,1.0,4.0,0.0,0,0,40,37.0
40,4.0,310101,15.0,10,5.0,12.0,1.0,0.0,0.0,0,0,40,37.0
23,4.0,216811,11.0,9,4.0,1.0,3.0,4.0,0.0,0,0,16,37.0
36,4.0,356824,11.0,9,0.0,12.0,1.0,4.0,0.0,0,0,40,37.0
47,4.0,178309,6.0,5,4.0,8.0,4.0,4.0,0.0,0,0,50,37.0
17,4.0,111332,1.0,7,4.0,12.0,3.0,4.0,0.0,0,0,20,37.0
23,0.0,226891,11.0,9,4.0,0.0,2.0,1.0,0.0,0,0,20,33.0
62,4.0,149617,15.0,10,6.0,4.0,1.0,4.0,0.0,0,0,16,37.0
25,4.0,104193,11.0,9,4.0,8.0,3.0,4.0,0.0,114,0,40,37.0
58,4.0,147653,15.0,10,2.0,1.0,5.0,4.0,0.0,0,0,32,37.0
17,4.0,171080,2.0,8,4.0,6.0,3.0,4.0,1.0,0,0,20,37.0
